bank,term,deposit_type,rate_text
oceanbank,36 tháng,Quầy,"6,10"
PGBank,Không kỳ hạn,Quầy,-
PGBank,1 tháng,Quầy,"4,75"
PGBank,3 tháng,Quầy,"4,75"
PGBank,6 tháng,Quầy,"6,60"
PGBank,9 tháng,Quầy,"6,60"
PGBank,12 tháng,Quầy,"6,70"
PGBank,13 tháng,Quầy,"6,70"
PGBank,18 tháng,Quầy,"6,80"
PGBank,24 tháng,Quầy,"6,80"
PGBank,36 tháng,Quầy,"6,80"
PublicBank,Không kỳ hạn,Quầy,"0,10"
PublicBank,1 tháng,Quầy,"4,75"
PublicBank,3 tháng,Quầy,"4,75"
PublicBank,6 tháng,Quầy,"6,00"
PublicBank,9 tháng,Quầy,"6,20"
PublicBank,12 tháng,Quầy,"6,50"
PublicBank,13 tháng,Quầy,"6,70"
PublicBank,18 tháng,Quầy,"7,00"
PublicBank,24 tháng,Quầy,"6,50"
PublicBank,36 tháng,Quầy,"6,00"
PVcomBank,Không kỳ hạn,Quầy,-
PVcomBank,1 tháng,Quầy,"3,00"
PVcomBank,3 tháng,Quầy,"3,30"
PVcomBank,6 tháng,Quầy,"4,20"
PVcomBank,9 tháng,Quầy,"4,40"
PVcomBank,12 tháng,Quầy,"9,00"
PVcomBank,13 tháng,Quầy,"9,00"
PVcomBank,18 tháng,Quầy,"5,30"
PVcomBank,24 tháng,Quầy,"5,30"
PVcomBank,36 tháng,Quầy,"5,30"
Saigonbank,Không kỳ hạn,Quầy,"0,10"
Saigonbank,1 tháng,Quầy,"4,75"
Saigonbank,3 tháng,Quầy,"4,75"
Saigonbank,6 tháng,Quầy,"6,40"
Saigonbank,9 tháng,Quầy,"6,20"
Saigonbank,12 tháng,Quầy,"6,70"
Saigonbank,13 tháng,Quầy,"7,90"
Saigonbank,18 tháng,Quầy,"6,50"
Saigonbank,24 tháng,Quầy,"6,00"
Saigonbank,36 tháng,Quầy,"6,10"
SCB,Không kỳ hạn,Quầy,"0,01"
SCB,1 tháng,Quầy,"1,60"
SCB,3 tháng,Quầy,"1,90"
SCB,6 tháng,Quầy,"2,90"
SCB,9 tháng,Quầy,"2,90"
SCB,12 tháng,Quầy,"3,70"
SCB,13 tháng,Quầy,-
SCB,18 tháng,Quầy,"3,90"
SCB,24 tháng,Quầy,"3,90"
SCB,36 tháng,Quầy,"3,90"
SeABank,Không kỳ hạn,Quầy,-
SeABank,1 tháng,Quầy,"2,95"
SeABank,3 tháng,Quầy,"3,45"
SeABank,6 tháng,Quầy,"3,75"
SeABank,9 tháng,Quầy,"3,95"
SeABank,12 tháng,Quầy,"4,50"
SeABank,13 tháng,Quầy,-
SeABank,18 tháng,Quầy,"5,45"
SeABank,24 tháng,Quầy,"5,45"
SeABank,36 tháng,Quầy,"5,45"
SHB,Không kỳ hạn,Quầy,-
SHB,1 tháng,Quầy,-
SHB,3 tháng,Quầy,-
SHB,6 tháng,Quầy,-
SHB,9 tháng,Quầy,-
SHB,12 tháng,Quầy,-
SHB,13 tháng,Quầy,-
SHB,18 tháng,Quầy,-
SHB,24 tháng,Quầy,-
SHB,36 tháng,Quầy,-
TPBank,Không kỳ hạn,Quầy,-
TPBank,1 tháng,Quầy,"4,20"
TPBank,3 tháng,Quầy,"4,20"
TPBank,6 tháng,Quầy,"5,50"
TPBank,9 tháng,Quầy,-
TPBank,12 tháng,Quầy,-
TPBank,13 tháng,Quầy,-
TPBank,18 tháng,Quầy,"5,90"
TPBank,24 tháng,Quầy,-
TPBank,36 tháng,Quầy,"6,00"
VCBNeo,Không kỳ hạn,Quầy,"0,50"
VCBNeo,1 tháng,Quầy,"4,45"
VCBNeo,3 tháng,Quầy,"4,45"
VCBNeo,6 tháng,Quầy,"6,50"
VCBNeo,9 tháng,Quầy,"6,50"
VCBNeo,12 tháng,Quầy,"6,50"
VCBNeo,13 tháng,Quầy,"6,50"
