bank,deposit_type,term,term_months,interest_rate
Kiên Long,Quầy,36 tháng,36,5.1
MB,Online,Không kỳ hạn,0,
MB,Online,1 tháng,1,3.7
MB,Online,3 tháng,3,4.0
MB,Online,6 tháng,6,4.5
MB,Online,9 tháng,9,4.5
MB,Online,12 tháng,12,4.95
MB,Online,13 tháng,13,4.95
MB,Online,18 tháng,18,4.95
MB,Online,24 tháng,24,5.9
MB,Online,36 tháng,36,5.9
MB,Quầy,Không kỳ hạn,0,0.1
MB,Quầy,1 tháng,1,3.2
MB,Quầy,3 tháng,3,3.6
MB,Quầy,6 tháng,6,4.2
MB,Quầy,9 tháng,9,4.2
MB,Quầy,12 tháng,12,4.85
MB,Quầy,13 tháng,13,4.85
MB,Quầy,18 tháng,18,4.85
MB,Quầy,24 tháng,24,5.7
MB,Quầy,36 tháng,36,5.7
MSB,Online,Không kỳ hạn,0,0.0
MSB,Online,1 tháng,1,4.75
MSB,Online,3 tháng,3,4.75
MSB,Online,6 tháng,6,6.3
MSB,Online,9 tháng,9,6.3
MSB,Online,12 tháng,12,6.8
MSB,Online,13 tháng,13,6.6
MSB,Online,18 tháng,18,6.6
MSB,Online,24 tháng,24,6.6
MSB,Online,36 tháng,36,6.1
MSB,Quầy,Không kỳ hạn,0,
MSB,Quầy,1 tháng,1,4.5
MSB,Quầy,3 tháng,3,4.5
MSB,Quầy,6 tháng,6,6.1
MSB,Quầy,9 tháng,9,6.1
MSB,Quầy,12 tháng,12,6.5
MSB,Quầy,13 tháng,13,6.3
MSB,Quầy,18 tháng,18,6.3
MSB,Quầy,24 tháng,24,6.3
MSB,Quầy,36 tháng,36,5.8
Nam Á Bank,Online,Không kỳ hạn,0,
Nam Á Bank,Online,1 tháng,1,4.6
Nam Á Bank,Online,3 tháng,3,4.75
Nam Á Bank,Online,6 tháng,6,6.1
Nam Á Bank,Online,9 tháng,9,6.2
Nam Á Bank,Online,12 tháng,12,6.3
Nam Á Bank,Online,13 tháng,13,6.3
Nam Á Bank,Online,18 tháng,18,6.3
Nam Á Bank,Online,24 tháng,24,6.3
Nam Á Bank,Online,36 tháng,36,6.3
Nam Á Bank,Quầy,Không kỳ hạn,0,0.5
Nam Á Bank,Quầy,1 tháng,1,
Nam Á Bank,Quầy,3 tháng,3,
Nam Á Bank,Quầy,6 tháng,6,
Nam Á Bank,Quầy,9 tháng,9,
Nam Á Bank,Quầy,12 tháng,12,
Nam Á Bank,Quầy,13 tháng,13,6.3
Nam Á Bank,Quầy,18 tháng,18,6.3
Nam Á Bank,Quầy,24 tháng,24,
Nam Á Bank,Quầy,36 tháng,36,
OCB,Online,Không kỳ hạn,0,0.0
OCB,Online,1 tháng,1,4.75
OCB,Online,3 tháng,3,4.75
OCB,Online,6 tháng,6,6.5
OCB,Online,9 tháng,9,6.5
OCB,Online,12 tháng,12,6.8
OCB,Online,13 tháng,13,6.5
OCB,Online,18 tháng,18,6.7
OCB,Online,24 tháng,24,6.9
OCB,Online,36 tháng,36,7.1
OCB,Quầy,Không kỳ hạn,0,0.0
OCB,Quầy,1 tháng,1,4.75
OCB,Quầy,3 tháng,3,4.75
OCB,Quầy,6 tháng,6,6.4
OCB,Quầy,9 tháng,9,6.4
OCB,Quầy,12 tháng,12,6.7
OCB,Quầy,13 tháng,13,6.4
OCB,Quầy,18 tháng,18,6.6
OCB,Quầy,24 tháng,24,6.8
OCB,Quầy,36 tháng,36,7.0
PGBank,Quầy,Không kỳ hạn,0,
PGBank,Quầy,1 tháng,1,4.75
PGBank,Quầy,3 tháng,3,4.75
PGBank,Quầy,6 tháng,6,6.6
PGBank,Quầy,9 tháng,9,6.6
PGBank,Quầy,12 tháng,12,6.7
PGBank,Quầy,13 tháng,13,6.7
PGBank,Quầy,18 tháng,18,6.8
PGBank,Quầy,24 tháng,24,6.8
PGBank,Quầy,36 tháng,36,6.8
PVcomBank,Quầy,Không kỳ hạn,0,
PVcomBank,Quầy,1 tháng,1,3.0
PVcomBank,Quầy,3 tháng,3,3.3
PVcomBank,Quầy,6 tháng,6,4.2
PVcomBank,Quầy,9 tháng,9,4.4
PVcomBank,Quầy,12 tháng,12,9.0
PVcomBank,Quầy,13 tháng,13,9.0
PVcomBank,Quầy,18 tháng,18,5.3
PVcomBank,Quầy,24 tháng,24,5.3
PVcomBank,Quầy,36 tháng,36,5.3
PublicBank,Quầy,Không kỳ hạn,0,0.1
PublicBank,Quầy,1 tháng,1,4.75
PublicBank,Quầy,3 tháng,3,4.75
PublicBank,Quầy,6 tháng,6,6.0
PublicBank,Quầy,9 tháng,9,6.2
PublicBank,Quầy,12 tháng,12,6.5
PublicBank,Quầy,13 tháng,13,6.7
PublicBank,Quầy,18 tháng,18,7.0
PublicBank,Quầy,24 tháng,24,6.5
PublicBank,Quầy,36 tháng,36,6.0
